group,field
website,child_age
website,lead_id
website,parent_name
website,phone
website,preferred_branch
website,region_code
website,region_name
website,source_url
website,submitted_at
website,user_agent
fb_top_level,ad_id
fb_top_level,adgroup_id
fb_top_level,campaign_id
fb_top_level,created_time
fb_top_level,field_data
fb_top_level,form_id
fb_top_level,id
fb_top_level,is_organic
fb_top_level,page_id
fb_top_level,platform
fb_field_data,city
fb_field_data,full_name
fb_field_data,phone_number
fb_field_data,state
